VisitID,VisitDate,RepID,DoctorID,TerritoryID,VisitType,ProductsDetailed,SamplesGiven,CallOutcome,NextVisitScheduled,VisitDuration_Mins,JointVisitFlag,ManagerID
VIS000676,2021-01-15,REP010,DOC0241,TER032,Follow-up,"DRG004,DRG001,DRG009",3,Sample Accepted,2021-02-02,43,No,
VIS000385,2021-01-16,REP020,DOC0255,TER036,CME,"DRG007,DRG006",0,Will Consider,2021-02-07,42,Yes,REP012
VIS000493,2021-01-16,REP006,DOC0122,TER022,Planned,DRG011,1,Sample Accepted,2021-01-24,13,No,
VIS001662,2021-01-16,REP018,DOC0214,TER014,Unplanned,"DRG002,DRG012,DRG003,DRG005",2,Prescription Committed,2021-02-08,10,No,
VIS002002,2021-01-16,REP020,DOC0239,TER006,Planned,"DRG011,DRG001,DRG010",0,Sample Accepted,2021-02-12,39,No,
VIS002095,2021-01-16,REP016,DOC0137,TER016,Follow-up,"DRG012,DRG015,DRG006,DRG003",0,Not Interested,2021-02-10,38,No,
VIS000955,2021-01-18,REP006,DOC0208,TER033,Planned,"DRG003,DRG008,DRG007,DRG011",2,Will Consider,2021-02-14,34,No,
VIS001902,2021-01-18,REP017,DOC0061,TER020,Camp,"DRG013,DRG003,DRG004,DRG002",0,Meeting Rescheduled,2021-02-06,42,No,
VIS000348,2021-01-19,REP004,DOC0163,TER023,Follow-up,"DRG014,DRG003,DRG005,DRG015",1,Not Interested,2021-02-07,43,No,
VIS000777,2021-01-19,REP004,DOC0177,TER016,Planned,"DRG008,DRG001",2,Sample Accepted,2021-02-18,44,No,
VIS000108,2021-01-21,REP004,DOC0106,TER037,Follow-up,"DRG010,DRG003",2,Prescription Committed,2021-01-30,17,No,
VIS000169,2021-01-21,REP004,DOC0187,TER017,Follow-up,DRG015,1,Will Consider,2021-02-08,31,No,
VIS002042,2021-01-21,REP005,DOC0145,TER007,Unplanned,"DRG002,DRG004,DRG009",2,Sample Accepted,2021-02-03,31,No,
VIS002402,2021-01-21,REP018,DOC0209,TER028,Planned,DRG005,3,Will Consider,2021-02-08,30,No,
VIS000183,2021-01-22,REP016,DOC0061,TER035,Follow-up,"DRG002,DRG015,DRG008",1,Sample Accepted,2021-02-06,39,No,
VIS001402,2021-01-22,REP005,DOC0014,TER035,Unplanned,"DRG012,DRG010,DRG008",0,Will Consider,2021-01-29,41,No,
VIS000921,2021-01-23,REP016,DOC0266,TER025,Planned,"DRG013,DRG007,DRG005,DRG009",1,Not Interested,2021-02-07,11,No,
VIS000735,2021-01-24,REP012,DOC0286,TER001,Planned,"DRG013,DRG010,DRG003,DRG005",0,Sample Accepted,2021-02-20,25,No,
VIS001738,2021-01-24,REP004,DOC0098,TER015,Planned,"DRG014,DRG008",3,Prescription Committed,2021-02-09,33,No,
VIS002286,2021-01-24,REP005,DOC0032,TER005,Follow-up,"DRG004,DRG002,DRG007",1,Prescription Committed,2021-02-15,44,Yes,REP017
VIS000569,2021-01-25,REP017,DOC0228,TER019,Planned,"DRG010,DRG013",2,Sample Accepted,2021-02-15,20,No,
VIS001166,2021-01-26,REP017,DOC0042,TER027,Unplanned,DRG008,3,Prescription Committed,2021-02-09,27,Yes,REP017
VIS000977,2021-01-27,REP018,DOC0063,TER011,Unplanned,"DRG012,DRG006,DRG013",0,Sample Accepted,2021-02-20,26,No,
VIS001921,2021-01-27,REP003,DOC0010,TER032,Unplanned,"DRG015,DRG006,DRG005",1,Sample Accepted,2021-02-25,45,No,
VIS002214,2021-01-27,REP008,DOC0054,TER026,Planned,"DRG014,DRG013,DRG005,DRG008",2,Will Consider,2021-02-06,13,No,
VIS001592,2021-01-28,REP002,DOC0259,TER004,Planned,"DRG006,DRG001,DRG014",3,Will Consider,2021-02-22,42,No,
VIS002086,2021-01-28,REP004,DOC0295,TER018,CME,"DRG005,DRG003,DRG006",3,Sample Accepted,2021-02-27,12,No,
VIS002090,2021-01-28,REP018,DOC0073,TER021,Planned,"DRG008,DRG005,DRG014,DRG009",1,Prescription Committed,2021-02-20,30,No,
VIS000314,2021-01-29,REP001,DOC0139,TER039,Planned,"DRG007,DRG013,DRG015",2,Sample Accepted,2021-02-26,31,No,
VIS000458,2021-01-29,REP004,DOC0157,TER029,Unplanned,"DRG001,DRG006,DRG008",0,Will Consider,2021-02-09,38,No,
VIS000674,2021-01-30,REP015,DOC0085,TER022,Unplanned,"DRG005,DRG011",0,Will Consider,2021-02-26,18,Yes,REP017
VIS001801,2021-01-30,REP004,DOC0196,TER030,Follow-up,"DRG011,DRG005,DRG012",3,Sample Accepted,2021-02-24,25,No,
VIS002064,2021-01-30,REP014,DOC0121,TER016,Planned,DRG010,2,Prescription Committed,2021-02-25,33,No,
VIS002725,2021-01-30,REP012,DOC0103,TER030,CME,DRG004,0,Prescription Committed,2021-02-07,24,No,
VIS002887,2021-01-30,REP001,DOC0136,TER023,Planned,"DRG006,DRG010",1,Will Consider,2021-02-22,25,Yes,REP017
VIS001677,2021-01-31,REP011,DOC0232,TER020,Planned,"DRG006,DRG011,DRG008",2,Prescription Committed,2021-02-08,25,No,
VIS002181,2021-02-01,REP011,DOC0115,TER017,Planned,"DRG003,DRG007,DRG006",3,Sample Accepted,2021-02-16,11,Yes,REP017
VIS002816,2021-02-01,REP008,DOC0298,TER015,Planned,"DRG012,DRG010",1,Sample Accepted,2021-03-02,12,Yes,REP017
VIS001682,2021-02-02,REP007,DOC0221,TER020,Planned,"DRG013,DRG001,DRG007",1,Prescription Committed,2021-03-03,23,Yes,REP012
VIS000519,2021-02-03,REP017,DOC0059,TER036,Planned,DRG004,0,Will Consider,2021-02-10,22,No,
VIS002552,2021-02-03,REP009,DOC0202,TER037,Planned,"DRG002,DRG009",3,Prescription Committed,2021-02-14,23,Yes,REP017
VIS000898,2021-02-04,REP010,DOC0103,TER038,Follow-up,"DRG001,DRG010,DRG008",3,Prescription Committed,2021-02-12,27,No,
VIS000679,2021-02-05,REP010,DOC0090,TER021,Unplanned,DRG002,1,Prescription Committed,2021-02-19,23,No,
VIS000937,2021-02-05,REP014,DOC0206,TER005,Follow-up,DRG010,0,Will Consider,2021-02-13,15,No,
VIS000573,2021-02-08,REP003,DOC0054,TER004,Planned,"DRG015,DRG011,DRG007",1,Prescription Committed,2021-02-22,11,No,
VIS000960,2021-02-08,REP009,DOC0131,TER038,Follow-up,DRG014,1,Prescription Committed,2021-03-06,11,No,
VIS000408,2021-02-09,REP012,DOC0281,TER006,Unplanned,"DRG007,DRG010,DRG003,DRG006",0,Sample Accepted,2021-03-02,15,Yes,REP012
VIS001033,2021-02-09,REP002,DOC0085,TER010,Planned,"DRG012,DRG004,DRG013,DRG005",3,Prescription Committed,2021-03-09,36,No,
VIS000817,2021-02-10,REP011,DOC0112,TER029,CME,"DRG014,DRG003,DRG002",0,Prescription Committed,2021-03-05,44,No,
VIS001358,2021-02-10,REP010,DOC0094,TER009,Planned,"DRG005,DRG012,DRG002",1,Prescription Committed,2021-02-20,17,No,
VIS001717,2021-02-11,REP009,DOC0078,TER036,CME,"DRG003,DRG005,DRG012",2,Sample Accepted,2021-02-19,26,No,
VIS000585,2021-02-12,REP002,DOC0289,TER027,Unplanned,"DRG007,DRG014",2,Prescription Committed,2021-02-25,11,No,
VIS000582,2021-02-13,REP009,DOC0212,TER007,Planned,"DRG012,DRG013,DRG009",1,Will Consider,2021-03-03,30,No,
VIS001049,2021-02-13,REP005,DOC0046,TER037,Camp,"DRG009,DRG003",0,Prescription Committed,2021-03-05,10,No,
VIS001839,2021-02-13,REP019,DOC0241,TER012,CME,"DRG013,DRG007,DRG011",2,Prescription Committed,2021-03-02,17,No,
VIS000147,2021-02-14,REP016,DOC0252,TER016,Planned,DRG013,3,Prescription Committed,2021-03-01,26,No,
VIS002637,2021-02-14,REP003,DOC0282,TER036,Planned,"DRG013,DRG005",2,Will Consider,2021-02-21,20,Yes,REP012
VIS001115,2021-02-15,REP016,DOC0019,TER024,CME,"DRG010,DRG015,DRG012,DRG013",2,Not Interested,2021-02-28,26,No,
VIS001437,2021-02-15,REP002,DOC0196,TER032,Planned,DRG012,3,Prescription Committed,2021-03-06,15,No,
VIS001670,2021-02-15,REP009,DOC0225,TER017,Camp,"DRG003,DRG001,DRG002",0,Meeting Rescheduled,2021-03-13,41,Yes,REP017
VIS000712,2021-02-17,REP007,DOC0116,TER040,Follow-up,"DRG007,DRG013,DRG014,DRG001",1,Will Consider,2021-03-08,37,Yes,REP012
VIS002069,2021-02-17,REP013,DOC0112,TER012,Planned,"DRG006,DRG008,DRG007,DRG015",0,Will Consider,2021-02-26,36,No,
VIS002874,2021-02-17,REP017,DOC0034,TER039,Unplanned,"DRG005,DRG006,DRG013,DRG002",2,Will Consider,2021-03-10,29,No,
VIS001213,2021-02-18,REP015,DOC0129,TER013,Follow-up,"DRG009,DRG008",2,Sample Accepted,2021-03-12,42,No,
VIS000350,2021-02-19,REP009,DOC0226,TER039,CME,DRG011,1,Sample Accepted,2021-03-14,44,No,
VIS000301,2021-02-20,REP002,DOC0123,TER003,Planned,DRG006,2,Sample Accepted,2021-03-01,37,No,
VIS000791,2021-02-20,REP005,DOC0014,TER038,Follow-up,"DRG013,DRG011,DRG007",0,Prescription Committed,2021-03-06,45,Yes,REP017
VIS002250,2021-02-20,REP006,DOC0202,TER024,Planned,DRG013,2,Will Consider,2021-03-20,28,No,
VIS000988,2021-02-21,REP009,DOC0181,TER015,Follow-up,"DRG005,DRG009",0,Prescription Committed,2021-03-10,18,No,
VIS001544,2021-02-21,REP003,DOC0296,TER002,Unplanned,"DRG006,DRG007,DRG002",0,Prescription Committed,2021-03-01,37,No,
VIS002187,2021-02-21,REP014,DOC0026,TER003,Unplanned,"DRG001,DRG002,DRG007",2,Prescription Committed,2021-03-17,12,Yes,REP017
VIS002481,2021-02-21,REP003,DOC0052,TER003,Planned,"DRG005,DRG007,DRG011",3,Not Interested,2021-02-28,42,Yes,REP012
VIS002782,2021-02-22,REP016,DOC0136,TER031,Planned,"DRG009,DRG001,DRG007",3,Sample Accepted,2021-03-06,17,No,
VIS001704,2021-02-23,REP016,DOC0086,TER003,Planned,"DRG004,DRG007",0,Prescription Committed,2021-03-04,38,No,
VIS002244,2021-02-23,REP016,DOC0288,TER015,Planned,"DRG012,DRG013,DRG015,DRG010",2,Prescription Committed,2021-03-21,14,No,
VIS002752,2021-02-23,REP003,DOC0053,TER012,Planned,"DRG003,DRG013,DRG009,DRG007",1,Will Consider,2021-03-09,18,No,
VIS002876,2021-02-23,REP002,DOC0056,TER001,Unplanned,"DRG008,DRG015,DRG011,DRG004",0,Prescription Committed,2021-03-19,13,No,
VIS002401,2021-02-24,REP014,DOC0090,TER039,Planned,"DRG012,DRG007",3,Prescription Committed,2021-03-07,29,No,
VIS002837,2021-02-24,REP014,DOC0058,TER030,Follow-up,"DRG008,DRG011,DRG004",3,Prescription Committed,2021-03-12,29,No,
VIS000142,2021-02-25,REP014,DOC0282,TER038,Unplanned,"DRG008,DRG015,DRG004",2,Prescription Committed,2021-03-08,10,No,
VIS001304,2021-02-25,REP005,DOC0085,TER001,Follow-up,"DRG003,DRG007",2,Prescription Committed,2021-03-23,30,No,
VIS002166,2021-02-25,REP009,DOC0168,TER001,Planned,"DRG006,DRG004,DRG002,DRG003",2,Sample Accepted,2021-03-09,11,No,
VIS000028,2021-02-26,REP006,DOC0092,TER007,Unplanned,"DRG006,DRG009",0,Meeting Rescheduled,2021-03-21,13,No,
VIS001160,2021-02-27,REP005,DOC0108,TER039,Planned,"DRG004,DRG011",0,Will Consider,2021-03-16,20,Yes,REP017
VIS001229,2021-02-27,REP001,DOC0110,TER019,Planned,"DRG006,DRG002,DRG004,DRG014",0,Not Interested,2021-03-09,39,No,
VIS002021,2021-02-27,REP004,DOC0076,TER018,Planned,"DRG012,DRG005,DRG002,DRG013",1,Sample Accepted,2021-03-08,38,No,
VIS001196,2021-02-28,REP018,DOC0132,TER004,Unplanned,DRG015,0,Will Consider,2021-03-16,30,No,
VIS002198,2021-02-28,REP017,DOC0119,TER006,Follow-up,"DRG005,DRG002",1,Prescription Committed,2021-03-20,35,No,
VIS001515,2021-03-01,REP014,DOC0279,TER014,Unplanned,"DRG008,DRG005,DRG015,DRG011",3,Will Consider,2021-03-31,10,Yes,REP017
VIS001610,2021-03-01,REP016,DOC0137,TER016,Follow-up,DRG011,1,Prescription Committed,2021-03-11,32,No,
VIS002730,2021-03-01,REP012,DOC0157,TER001,Planned,"DRG015,DRG013,DRG001",1,Prescription Committed,2021-03-15,34,No,
VIS002757,2021-03-01,REP013,DOC0031,TER007,Unplanned,DRG014,2,Prescription Committed,2021-03-16,21,No,
VIS002144,2021-03-02,REP010,DOC0082,TER018,Planned,DRG004,2,Will Consider,2021-03-30,20,No,
VIS000038,2021-03-03,REP014,DOC0003,TER038,Planned,"DRG009,DRG008,DRG013",3,Prescription Committed,2021-03-16,16,No,
VIS000230,2021-03-05,REP007,DOC0051,TER001,Unplanned,"DRG002,DRG009,DRG007",0,Not Interested,2021-03-29,33,No,
VIS001757,2021-03-05,REP001,DOC0027,TER008,Planned,"DRG006,DRG009",0,Sample Accepted,2021-03-25,35,Yes,REP017
VIS002485,2021-03-06,REP019,DOC0176,TER037,Planned,"DRG003,DRG013,DRG015,DRG007",1,Will Consider,2021-03-21,19,No,
VIS001348,2021-03-07,REP016,DOC0040,TER024,Planned,"DRG010,DRG004",1,Will Consider,2021-04-06,10,No,
VIS000666,2021-03-08,REP007,DOC0261,TER018,Planned,"DRG012,DRG005",0,Not Interested,2021-04-02,13,No,
VIS001145,2021-03-09,REP014,DOC0039,TER039,Follow-up,"DRG006,DRG014,DRG004",2,Will Consider,2021-03-24,42,No,
VIS002192,2021-03-09,REP016,DOC0210,TER035,CME,"DRG012,DRG006,DRG013,DRG002",0,Prescription Committed,2021-03-23,37,No,
VIS002758,2021-03-09,REP014,DOC0169,TER008,Planned,"DRG014,DRG003",1,Prescription Committed,2021-03-27,17,No,
VIS000497,2021-03-10,REP020,DOC0211,TER028,Planned,"DRG007,DRG002",3,Prescription Committed,2021-04-01,38,No,
VIS001747,2021-03-12,REP002,DOC0235,TER032,CME,"DRG013,DRG011,DRG015,DRG005",0,Meeting Rescheduled,2021-03-26,32,No,
VIS002463,2021-03-12,REP005,DOC0224,TER026,Unplanned,"DRG011,DRG008,DRG004,DRG006",3,Meeting Rescheduled,2021-04-01,44,No,
VIS000167,2021-03-13,REP006,DOC0244,TER005,Follow-up,"DRG009,DRG007",1,Will Consider,2021-03-26,23,No,
VIS001763,2021-03-13,REP018,DOC0206,TER004,Planned,"DRG010,DRG002",2,Sample Accepted,2021-03-27,41,No,
VIS002807,2021-03-13,REP004,DOC0050,TER016,Follow-up,"DRG012,DRG002,DRG005,DRG001",1,Not Interested,2021-04-05,22,No,
VIS001558,2021-03-14,REP017,DOC0163,TER002,Planned,"DRG001,DRG014,DRG005",2,Prescription Committed,2021-04-10,13,No,
VIS002156,2021-03-14,REP001,DOC0140,TER039,Planned,"DRG014,DRG010,DRG015",2,Sample Accepted,2021-03-22,25,Yes,REP017
VIS001032,2021-03-16,REP020,DOC0254,TER038,Camp,"DRG003,DRG006,DRG002,DRG005",0,Prescription Committed,2021-03-28,45,No,
VIS001855,2021-03-16,REP004,DOC0209,TER002,CME,"DRG015,DRG013,DRG004,DRG012",3,Will Consider,2021-04-06,40,No,
VIS002125,2021-03-16,REP002,DOC0290,TER006,Planned,DRG014,1,Prescription Committed,2021-03-26,20,No,
VIS002362,2021-03-16,REP015,DOC0045,TER011,Planned,"DRG001,DRG008",1,Will Consider,2021-03-26,15,No,
VIS000364,2021-03-17,REP002,DOC0058,TER038,Planned,"DRG015,DRG013",0,Prescription Committed,2021-03-25,10,No,
VIS001646,2021-03-17,REP012,DOC0112,TER018,Planned,"DRG011,DRG010",2,Sample Accepted,2021-04-07,29,No,
VIS000421,2021-03-19,REP010,DOC0150,TER018,Planned,"DRG008,DRG005,DRG010",3,Sample Accepted,2021-04-14,17,Yes,REP012
VIS001174,2021-03-19,REP008,DOC0191,TER001,Follow-up,"DRG004,DRG002",0,Will Consider,2021-04-11,40,Yes,REP017
VIS001734,2021-03-20,REP001,DOC0248,TER008,CME,"DRG013,DRG009",3,Sample Accepted,2021-04-12,14,No,
VIS002263,2021-03-20,REP002,DOC0287,TER030,Planned,"DRG011,DRG013",0,Will Consider,2021-04-17,35,Yes,REP017
VIS000349,2021-03-21,REP013,DOC0232,TER031,Planned,"DRG006,DRG003,DRG001",1,Prescription Committed,2021-04-05,31,No,
VIS001772,2021-03-21,REP014,DOC0130,TER014,Follow-up,DRG010,0,Prescription Committed,2021-04-01,33,No,
VIS002106,2021-03-21,REP008,DOC0258,TER019,CME,DRG010,3,Not Interested,2021-04-16,21,No,
VIS000139,2021-03-22,REP005,DOC0203,TER015,Planned,"DRG014,DRG013",3,Sample Accepted,2021-04-08,11,No,
VIS000771,2021-03-22,REP003,DOC0019,TER033,Planned,"DRG003,DRG015,DRG001,DRG006",0,Prescription Committed,2021-04-01,31,No,
VIS002502,2021-03-22,REP018,DOC0027,TER008,Planned,DRG004,3,Prescription Committed,2021-04-13,37,No,
VIS000224,2021-03-23,REP003,DOC0234,TER030,Follow-up,DRG001,1,Prescription Committed,2021-04-14,16,No,
VIS000723,2021-03-23,REP018,DOC0038,TER001,Planned,DRG013,2,Not Interested,2021-04-21,28,No,
VIS002269,2021-03-23,REP015,DOC0178,TER017,Unplanned,"DRG008,DRG003,DRG012,DRG001",1,Meeting Rescheduled,2021-04-02,24,No,
VIS001533,2021-03-24,REP007,DOC0260,TER040,Follow-up,"DRG009,DRG006,DRG014",2,Prescription Committed,2021-04-02,29,Yes,REP012
VIS000029,2021-03-25,REP006,DOC0117,TER012,Planned,"DRG014,DRG001",3,Will Consider,2021-04-16,33,No,
VIS001079,2021-03-26,REP001,DOC0298,TER014,Planned,"DRG013,DRG004,DRG015",2,Prescription Committed,2021-04-16,32,No,
VIS001756,2021-03-26,REP013,DOC0208,TER022,Planned,DRG010,2,Prescription Committed,2021-04-25,12,Yes,REP017
VIS002926,2021-03-26,REP012,DOC0119,TER015,Camp,"DRG013,DRG010,DRG006",1,Prescription Committed,2021-04-04,19,No,
VIS000611,2021-03-27,REP019,DOC0272,TER013,Follow-up,DRG010,2,Prescription Committed,2021-04-26,35,No,
VIS000675,2021-03-27,REP018,DOC0238,TER024,Planned,"DRG012,DRG010",2,Not Interested,2021-04-14,12,No,
VIS001630,2021-03-27,REP001,DOC0167,TER032,Unplanned,DRG004,1,Not Interested,2021-04-18,30,No,
VIS002624,2021-03-29,REP010,DOC0253,TER017,Unplanned,"DRG012,DRG014,DRG002",3,Will Consider,2021-04-19,44,No,
VIS000508,2021-03-30,REP019,DOC0041,TER010,Planned,"DRG011,DRG014,DRG003,DRG013",2,Will Consider,2021-04-26,43,No,
VIS000670,2021-03-30,REP019,DOC0257,TER035,Planned,"DRG006,DRG011,DRG005",0,Will Consider,2021-04-27,10,No,
VIS002033,2021-03-30,REP013,DOC0079,TER015,Planned,DRG013,1,Prescription Committed,2021-04-12,34,No,
VIS002844,2021-03-30,REP013,DOC0253,TER027,Planned,DRG006,0,Prescription Committed,2021-04-24,34,No,
VIS002941,2021-03-30,REP011,DOC0016,TER037,Planned,"DRG006,DRG012,DRG004",3,Meeting Rescheduled,2021-04-24,22,Yes,REP017
VIS000496,2021-03-31,REP020,DOC0086,TER038,Follow-up,"DRG005,DRG012",3,Will Consider,2021-04-18,22,No,
VIS000660,2021-03-31,REP010,DOC0132,TER029,Unplanned,DRG003,1,Not Interested,2021-04-11,41,No,
VIS001001,2021-03-31,REP012,DOC0285,TER035,Follow-up,"DRG012,DRG009,DRG008,DRG015",3,Not Interested,2021-04-21,38,Yes,REP012
VIS002738,2021-03-31,REP019,DOC0267,TER019,Planned,"DRG011,DRG007,DRG004,DRG015",0,Prescription Committed,2021-04-12,36,No,
VIS000654,2021-04-01,REP018,DOC0111,TER001,Planned,"DRG011,DRG006,DRG001,DRG004",3,Sample Accepted,2021-04-30,13,No,
VIS001070,2021-04-01,REP017,DOC0165,TER026,CME,"DRG013,DRG008,DRG014",0,Will Consider,2021-04-26,36,No,
VIS002483,2021-04-03,REP015,DOC0262,TER006,CME,DRG010,0,Prescription Committed,2021-04-14,31,Yes,REP017
VIS000946,2021-04-04,REP009,DOC0226,TER006,Follow-up,"DRG010,DRG012",1,Sample Accepted,2021-04-17,14,No,
VIS001937,2021-04-04,REP020,DOC0292,TER002,Unplanned,"DRG015,DRG010,DRG011",3,Prescription Committed,2021-04-25,14,No,
VIS000208,2021-04-06,REP014,DOC0214,TER039,Follow-up,"DRG015,DRG014,DRG012",3,Prescription Committed,2021-05-01,41,No,
VIS000565,2021-04-06,REP008,DOC0042,TER007,Unplanned,"DRG010,DRG005",2,Will Consider,2021-04-27,40,Yes,REP017
VIS000669,2021-04-06,REP005,DOC0012,TER002,CME,"DRG002,DRG007,DRG001",0,Prescription Committed,2021-04-27,38,No,
VIS000525,2021-04-07,REP018,DOC0191,TER024,Planned,"DRG004,DRG001",3,Sample Accepted,2021-04-16,27,Yes,REP017
VIS001137,2021-04-07,REP020,DOC0163,TER011,Follow-up,DRG004,3,Will Consider,2021-04-27,11,Yes,REP012
VIS002068,2021-04-07,REP020,DOC0014,TER031,Planned,"DRG003,DRG008,DRG013",1,Will Consider,2021-05-03,14,No,
VIS002186,2021-04-07,REP010,DOC0113,TER025,Planned,DRG010,1,Sample Accepted,2021-05-05,14,No,
VIS001186,2021-04-08,REP013,DOC0113,TER028,CME,DRG015,0,Prescription Committed,2021-05-01,25,No,
VIS000499,2021-04-09,REP007,DOC0038,TER032,Planned,DRG004,2,Will Consider,2021-05-05,25,No,
VIS001718,2021-04-10,REP020,DOC0070,TER032,Camp,"DRG013,DRG003,DRG002",3,Prescription Committed,2021-05-09,30,No,
VIS000524,2021-04-11,REP018,DOC0128,TER035,Planned,DRG013,2,Sample Accepted,2021-04-22,40,Yes,REP017
VIS001652,2021-04-11,REP020,DOC0104,TER035,Follow-up,DRG014,2,Sample Accepted,2021-05-03,43,No,
VIS002246,2021-04-12,REP016,DOC0024,TER009,Planned,"DRG009,DRG007,DRG015",2,Sample Accepted,2021-04-25,27,No,
VIS002018,2021-04-13,REP010,DOC0019,TER013,Follow-up,DRG009,1,Prescription Committed,2021-04-26,37,No,
VIS002707,2021-04-13,REP004,DOC0176,TER038,Planned,DRG002,1,Will Consider,2021-04-23,39,Yes,REP012
VIS001817,2021-04-14,REP008,DOC0182,TER027,Planned,"DRG012,DRG003,DRG007",1,Sample Accepted,2021-05-12,30,No,
VIS000536,2021-04-15,REP020,DOC0294,TER007,Planned,"DRG008,DRG005,DRG003,DRG014",2,Prescription Committed,2021-04-28,42,No,
VIS001663,2021-04-15,REP004,DOC0202,TER005,Follow-up,"DRG014,DRG002",3,Sample Accepted,2021-05-13,28,No,
VIS001966,2021-04-15,REP009,DOC0146,TER012,Unplanned,"DRG010,DRG008",0,Prescription Committed,2021-05-07,24,No,
VIS002395,2021-04-15,REP007,DOC0046,TER027,Planned,DRG014,3,Prescription Committed,2021-04-23,19,No,
VIS002437,2021-04-15,REP020,DOC0208,TER004,CME,"DRG009,DRG012",2,Will Consider,2021-04-29,39,No,
VIS002780,2021-04-15,REP002,DOC0088,TER033,CME,"DRG008,DRG011",1,Prescription Committed,2021-04-28,33,No,
VIS002842,2021-04-15,REP007,DOC0246,TER037,Planned,"DRG006,DRG005,DRG011",0,Sample Accepted,2021-05-12,27,No,
VIS000472,2021-04-17,REP011,DOC0146,TER015,Planned,"DRG009,DRG012,DRG010,DRG003",1,Prescription Committed,2021-05-04,22,No,
VIS001732,2021-04-17,REP012,DOC0001,TER040,Planned,"DRG006,DRG014,DRG008",2,Sample Accepted,2021-04-29,33,No,
VIS001954,2021-04-17,REP019,DOC0151,TER012,Planned,"DRG002,DRG007",0,Will Consider,2021-04-28,45,Yes,REP017
VIS002458,2021-04-17,REP016,DOC0040,TER017,Planned,"DRG003,DRG001,DRG010,DRG009",3,Prescription Committed,2021-05-16,10,No,
VIS001446,2021-04-18,REP019,DOC0059,TER004,Planned,"DRG009,DRG012,DRG005",1,Will Consider,2021-04-29,25,Yes,REP017
VIS000006,2021-04-19,REP002,DOC0007,TER029,Planned,"DRG012,DRG008,DRG011",3,Will Consider,2021-05-15,44,No,
VIS000590,2021-04-19,REP010,DOC0257,TER028,Planned,"DRG002,DRG010,DRG011",1,Will Consider,2021-05-02,33,No,
VIS002030,2021-04-19,REP001,DOC0018,TER038,Planned,DRG011,1,Prescription Committed,2021-05-03,39,No,
VIS002654,2021-04-19,REP014,DOC0149,TER038,Follow-up,DRG008,0,Not Interested,2021-05-16,18,No,
VIS000351,2021-04-20,REP004,DOC0150,TER027,Follow-up,DRG004,0,Prescription Committed,2021-05-03,11,No,
