TargetID,RepID,DrugID,FY_Quarter,SalesTarget_Value,SalesTarget_Units,VisitTarget,NewDoctorTarget
TGT000148,REP001,DRG010,FY2021-Q4,84028.39,114,48,6
TGT000149,REP001,DRG010,FY2022-Q1,47158.49,149,45,10
TGT000150,REP001,DRG010,FY2022-Q2,52640.29,232,41,3
TGT000151,REP001,DRG010,FY2022-Q3,82192.01,76,38,10
TGT000152,REP001,DRG010,FY2022-Q4,126690.46,128,34,2
TGT000153,REP001,DRG010,FY2023-Q1,130918.34,285,24,7
TGT000154,REP001,DRG010,FY2023-Q2,190057.07,183,48,6
TGT000155,REP001,DRG010,FY2023-Q3,187031.51,118,42,2
TGT000156,REP001,DRG010,FY2023-Q4,92737.7,62,40,6
TGT000157,REP001,DRG010,FY2024-Q1,95480.9,53,58,3
TGT000158,REP001,DRG010,FY2024-Q2,155170.34,204,38,5
TGT000159,REP001,DRG010,FY2024-Q3,75192.7,128,58,3
TGT000160,REP001,DRG010,FY2024-Q4,106431.92,60,43,2
TGT000161,REP001,DRG011,FY2021-Q1,7391078.66,221,47,5
TGT000162,REP001,DRG011,FY2021-Q2,5694754.11,216,23,2
TGT000163,REP001,DRG011,FY2021-Q3,6815073.04,209,30,4
TGT000164,REP001,DRG011,FY2021-Q4,3522164.83,81,40,5
TGT000165,REP001,DRG011,FY2022-Q1,4778093.25,236,21,4
TGT000166,REP001,DRG011,FY2022-Q2,6933498.73,189,24,7
TGT000167,REP001,DRG011,FY2022-Q3,7916947.32,210,29,5
TGT000168,REP001,DRG011,FY2022-Q4,7265509.68,263,56,6
TGT000169,REP001,DRG011,FY2023-Q1,4794383.4,243,37,7
TGT000170,REP001,DRG011,FY2023-Q2,4959815.78,139,26,9
TGT000171,REP001,DRG011,FY2023-Q3,5019583.5,178,23,10
TGT000172,REP001,DRG011,FY2023-Q4,2459840.09,162,52,7
TGT000173,REP001,DRG011,FY2024-Q1,4186460.36,173,54,9
TGT000174,REP001,DRG011,FY2024-Q2,8231856.47,168,41,7
TGT000175,REP001,DRG011,FY2024-Q3,2901812.51,124,32,2
TGT000176,REP001,DRG011,FY2024-Q4,3286390.5,176,24,2
TGT000177,REP001,DRG012,FY2021-Q1,15467.4,97,20,6
TGT000178,REP001,DRG012,FY2021-Q2,9588.19,136,24,10
TGT000179,REP001,DRG012,FY2021-Q3,6196.53,168,43,5
TGT000180,REP001,DRG012,FY2021-Q4,24440.31,155,31,9
TGT000181,REP001,DRG012,FY2022-Q1,19187.14,139,36,7
TGT000182,REP001,DRG012,FY2022-Q2,6852.73,88,37,4
TGT000183,REP001,DRG012,FY2022-Q3,12581.72,279,33,8
TGT000184,REP001,DRG012,FY2022-Q4,18692.73,146,39,2
TGT000185,REP001,DRG012,FY2023-Q1,13723.21,55,33,3
TGT000186,REP001,DRG012,FY2023-Q2,21571.07,221,55,6
TGT000187,REP001,DRG012,FY2023-Q3,22968.3,145,43,3
TGT000188,REP001,DRG012,FY2023-Q4,6777.94,158,30,5
TGT000189,REP001,DRG012,FY2024-Q1,22258.27,61,37,8
TGT000190,REP001,DRG012,FY2024-Q2,14196.28,233,22,9
TGT000191,REP001,DRG012,FY2024-Q3,16187.06,146,26,9
TGT000192,REP001,DRG012,FY2024-Q4,24386.53,121,50,5
TGT000193,REP001,DRG013,FY2021-Q1,23186.55,128,47,9
TGT000194,REP001,DRG013,FY2021-Q2,30620.35,280,23,4
TGT000195,REP001,DRG013,FY2021-Q3,11920.9,93,51,3
TGT000196,REP001,DRG013,FY2021-Q4,19421.82,77,33,8
TGT000197,REP001,DRG013,FY2022-Q1,17224.54,158,44,7
TGT000198,REP001,DRG013,FY2022-Q2,30659.75,265,39,6
TGT000199,REP001,DRG013,FY2022-Q3,21873.96,60,54,5
TGT000200,REP001,DRG013,FY2022-Q4,10982.12,296,37,4
TGT000201,REP001,DRG013,FY2023-Q1,21441.11,188,23,6
TGT000202,REP001,DRG013,FY2023-Q2,24248.55,240,47,7
TGT000203,REP001,DRG013,FY2023-Q3,11796.25,240,49,8
TGT000204,REP001,DRG013,FY2023-Q4,21744.15,279,42,8
TGT000205,REP001,DRG013,FY2024-Q1,14861.34,74,34,8
TGT000206,REP001,DRG013,FY2024-Q2,17409.77,259,54,7
TGT000207,REP001,DRG013,FY2024-Q3,24205.4,205,28,10
TGT000208,REP001,DRG013,FY2024-Q4,20368.99,262,54,10
TGT000209,REP001,DRG014,FY2021-Q1,18339.75,227,55,7
TGT000210,REP001,DRG014,FY2021-Q2,29731.78,284,46,5
TGT000211,REP001,DRG014,FY2021-Q3,30865.76,59,27,4
TGT000212,REP001,DRG014,FY2021-Q4,40327.39,93,37,5
TGT000213,REP001,DRG014,FY2022-Q1,36169.52,63,39,8
TGT000214,REP001,DRG014,FY2022-Q2,19220.01,126,58,10
TGT000215,REP001,DRG014,FY2022-Q3,38302.46,125,49,2
TGT000216,REP001,DRG014,FY2022-Q4,23251.07,235,27,6
TGT000217,REP001,DRG014,FY2023-Q1,21675.71,133,35,4
TGT000218,REP001,DRG014,FY2023-Q2,53405.32,183,24,7
TGT000219,REP001,DRG014,FY2023-Q3,43734.83,274,20,7
TGT000220,REP001,DRG014,FY2023-Q4,30028.94,291,21,7
TGT000221,REP001,DRG014,FY2024-Q1,21088.55,91,58,8
TGT000222,REP001,DRG014,FY2024-Q2,40072.86,58,26,7
TGT000223,REP001,DRG014,FY2024-Q3,19273.13,181,29,9
TGT000224,REP001,DRG014,FY2024-Q4,25802.72,91,57,10
TGT000225,REP001,DRG015,FY2021-Q1,71927.86,230,34,4
TGT000226,REP001,DRG015,FY2021-Q2,169303.55,250,56,9
TGT000227,REP001,DRG015,FY2021-Q3,93529.82,230,30,8
TGT000228,REP001,DRG015,FY2021-Q4,69341.73,185,60,10
TGT000229,REP001,DRG015,FY2022-Q1,183115.19,270,28,10
TGT000230,REP001,DRG015,FY2022-Q2,79794.3,270,48,6
TGT000231,REP001,DRG015,FY2022-Q3,116921.76,217,60,6
TGT000232,REP001,DRG015,FY2022-Q4,141748.68,240,52,8
TGT000233,REP001,DRG015,FY2023-Q1,111626.22,183,47,6
TGT000234,REP001,DRG015,FY2023-Q2,122512.72,112,44,10
TGT000235,REP001,DRG015,FY2023-Q3,193276.65,266,28,10
TGT000236,REP001,DRG015,FY2023-Q4,62940.26,93,60,9
TGT000237,REP001,DRG015,FY2024-Q1,81071.92,124,20,5
TGT000238,REP001,DRG015,FY2024-Q2,81012.53,183,25,8
TGT000239,REP001,DRG015,FY2024-Q3,85730.96,294,60,5
TGT000240,REP001,DRG015,FY2024-Q4,108103.56,136,21,2
TGT000241,REP002,DRG001,FY2021-Q1,32376.97,300,29,6
TGT000242,REP002,DRG001,FY2021-Q2,27568.97,110,42,2
TGT000243,REP002,DRG001,FY2021-Q3,26683.39,152,49,10
TGT000244,REP002,DRG001,FY2021-Q4,60364.23,100,52,10
TGT000245,REP002,DRG001,FY2022-Q1,31517.12,265,38,8
TGT000246,REP002,DRG001,FY2022-Q2,56992.03,216,31,3
TGT000247,REP002,DRG001,FY2022-Q3,58182.59,56,39,4
TGT000248,REP002,DRG001,FY2022-Q4,56747.11,60,47,5
TGT000249,REP002,DRG001,FY2023-Q1,40799.27,77,55,3
TGT000250,REP002,DRG001,FY2023-Q2,71877.72,216,32,4
TGT000251,REP002,DRG001,FY2023-Q3,23561.97,177,37,5
TGT000252,REP002,DRG001,FY2023-Q4,68263.28,292,39,10
TGT000253,REP002,DRG001,FY2024-Q1,60709.53,123,23,8
TGT000254,REP002,DRG001,FY2024-Q2,100042.09,289,48,3
TGT000255,REP002,DRG001,FY2024-Q3,61444.23,217,36,5
TGT000256,REP002,DRG001,FY2024-Q4,37540.64,186,34,3
TGT000257,REP002,DRG002,FY2021-Q1,135078.75,206,59,6
TGT000258,REP002,DRG002,FY2021-Q2,130565.76,292,40,2
TGT000259,REP002,DRG002,FY2021-Q3,73202.14,157,40,4
TGT000260,REP002,DRG002,FY2021-Q4,73401.9,189,30,3
TGT000261,REP002,DRG002,FY2022-Q1,52851.83,182,34,8
TGT000262,REP002,DRG002,FY2022-Q2,100784.56,59,47,4
TGT000263,REP002,DRG002,FY2022-Q3,128866.24,105,58,8
TGT000264,REP002,DRG002,FY2022-Q4,120799.26,161,52,3
TGT000265,REP002,DRG002,FY2023-Q1,73259.07,270,52,2
TGT000266,REP002,DRG002,FY2023-Q2,143943.94,299,23,5
TGT000267,REP002,DRG002,FY2023-Q3,92602.03,60,32,9
TGT000268,REP002,DRG002,FY2023-Q4,43821.33,230,54,9
TGT000269,REP002,DRG002,FY2024-Q1,113735.58,168,49,10
TGT000270,REP002,DRG002,FY2024-Q2,38133.12,199,27,4
TGT000271,REP002,DRG002,FY2024-Q3,93722.71,63,32,7
TGT000272,REP002,DRG002,FY2024-Q4,133429.71,60,33,10
TGT000273,REP002,DRG003,FY2021-Q1,40399.8,60,34,9
TGT000274,REP002,DRG003,FY2021-Q2,38947.62,68,52,3
TGT000275,REP002,DRG003,FY2021-Q3,30214.94,254,44,3
TGT000276,REP002,DRG003,FY2021-Q4,38739.67,97,52,7
TGT000277,REP002,DRG003,FY2022-Q1,70601.96,226,32,6
TGT000278,REP002,DRG003,FY2022-Q2,35471.04,146,42,2
TGT000279,REP002,DRG003,FY2022-Q3,22443.6,101,23,2
TGT000280,REP002,DRG003,FY2022-Q4,40136.91,78,45,8
TGT000281,REP002,DRG003,FY2023-Q1,66608.3,130,23,4
TGT000282,REP002,DRG003,FY2023-Q2,49430.63,125,54,3
TGT000283,REP002,DRG003,FY2023-Q3,28442.47,173,30,10
TGT000284,REP002,DRG003,FY2023-Q4,19386.7,182,42,8
TGT000285,REP002,DRG003,FY2024-Q1,23220.85,211,26,9
TGT000286,REP002,DRG003,FY2024-Q2,21916.49,209,45,9
TGT000287,REP002,DRG003,FY2024-Q3,40819.46,77,21,6
TGT000288,REP002,DRG003,FY2024-Q4,48977.67,94,58,9
TGT000289,REP002,DRG004,FY2021-Q1,236961.43,87,50,8
TGT000290,REP002,DRG004,FY2021-Q2,295612.84,297,43,6
TGT000291,REP002,DRG004,FY2021-Q3,298781.23,159,57,9
TGT000292,REP002,DRG004,FY2021-Q4,232222.01,107,27,5
TGT000293,REP002,DRG004,FY2022-Q1,189886.86,261,43,3
TGT000294,REP002,DRG004,FY2022-Q2,363414.44,238,41,6
TGT000295,REP002,DRG004,FY2022-Q3,150581.35,82,50,9
TGT000296,REP002,DRG004,FY2022-Q4,261900.4,153,45,9
TGT000297,REP002,DRG004,FY2023-Q1,229333.27,64,36,5
TGT000298,REP002,DRG004,FY2023-Q2,256136.44,221,30,6
TGT000299,REP002,DRG004,FY2023-Q3,230043.47,282,43,2
TGT000300,REP002,DRG004,FY2023-Q4,243291.49,150,44,9
TGT000301,REP002,DRG004,FY2024-Q1,291329.27,141,40,10
TGT000302,REP002,DRG004,FY2024-Q2,137925.92,227,20,2
TGT000303,REP002,DRG004,FY2024-Q3,208864.72,274,35,7
TGT000304,REP002,DRG004,FY2024-Q4,222814.02,266,33,7
TGT000305,REP002,DRG005,FY2021-Q1,143436.62,230,31,9
TGT000306,REP002,DRG005,FY2021-Q2,68618.93,260,30,6
TGT000307,REP002,DRG005,FY2021-Q3,164581.19,156,32,2
TGT000308,REP002,DRG005,FY2021-Q4,165292.6,140,34,2
TGT000309,REP002,DRG005,FY2022-Q1,132943.99,138,38,4
TGT000310,REP002,DRG005,FY2022-Q2,179667.53,281,44,3
TGT000311,REP002,DRG005,FY2022-Q3,79446.31,172,41,8
TGT000312,REP002,DRG005,FY2022-Q4,201713.54,75,27,10
TGT000313,REP002,DRG005,FY2023-Q1,114151.74,72,47,7
TGT000314,REP002,DRG005,FY2023-Q2,182919.66,60,46,7
TGT000315,REP002,DRG005,FY2023-Q3,112112.27,231,33,2
TGT000316,REP002,DRG005,FY2023-Q4,168062.34,226,29,9
TGT000317,REP002,DRG005,FY2024-Q1,155211.72,135,52,9
TGT000318,REP002,DRG005,FY2024-Q2,136110.63,206,28,5
TGT000319,REP002,DRG005,FY2024-Q3,75467.49,192,24,6
TGT000320,REP002,DRG005,FY2024-Q4,123923.09,167,53,7
TGT000321,REP002,DRG006,FY2021-Q1,83582.05,68,57,9
TGT000322,REP002,DRG006,FY2021-Q2,40841.8,71,22,7
TGT000323,REP002,DRG006,FY2021-Q3,49647,110,45,3
TGT000324,REP002,DRG006,FY2021-Q4,54103.75,169,20,8
TGT000325,REP002,DRG006,FY2022-Q1,96671,181,23,4
TGT000326,REP002,DRG006,FY2022-Q2,43133.57,241,20,7
TGT000327,REP002,DRG006,FY2022-Q3,114632.23,275,24,4
TGT000328,REP002,DRG006,FY2022-Q4,105063.87,128,60,9
TGT000329,REP002,DRG006,FY2023-Q1,47725.15,81,23,2
TGT000330,REP002,DRG006,FY2023-Q2,96432.28,72,37,2
TGT000331,REP002,DRG006,FY2023-Q3,74753.52,57,56,10
TGT000332,REP002,DRG006,FY2023-Q4,82088.02,58,36,10
TGT000333,REP002,DRG006,FY2024-Q1,74530.77,180,47,9
TGT000334,REP002,DRG006,FY2024-Q2,112220.89,167,20,6
TGT000335,REP002,DRG006,FY2024-Q3,38734.54,84,48,4
TGT000336,REP002,DRG006,FY2024-Q4,77867.2,142,41,3
TGT000337,REP002,DRG007,FY2021-Q1,1837384.91,71,22,5
TGT000338,REP002,DRG007,FY2021-Q2,2951999.44,299,57,8
TGT000339,REP002,DRG007,FY2021-Q3,2100468.96,218,39,6
TGT000340,REP002,DRG007,FY2021-Q4,3044663.77,284,39,2
TGT000341,REP002,DRG007,FY2022-Q1,2317513.41,275,33,9
TGT000342,REP002,DRG007,FY2022-Q2,2939139.06,148,38,3
TGT000343,REP002,DRG007,FY2022-Q3,2489481.34,85,37,5
TGT000344,REP002,DRG007,FY2022-Q4,2607427.9,104,58,3
TGT000345,REP002,DRG007,FY2023-Q1,4110119.42,98,23,8
TGT000346,REP002,DRG007,FY2023-Q2,2036011.86,74,59,8
TGT000347,REP002,DRG007,FY2023-Q3,1237189.71,98,37,8
TGT000348,REP002,DRG007,FY2023-Q4,3240989.14,230,33,8
TGT000349,REP002,DRG007,FY2024-Q1,1767762.4,259,25,10
TGT000350,REP002,DRG007,FY2024-Q2,1783652.76,164,49,3
TGT000351,REP002,DRG007,FY2024-Q3,3941682.53,208,40,4
TGT000352,REP002,DRG007,FY2024-Q4,3296616.84,139,31,2
TGT000353,REP002,DRG008,FY2021-Q1,3539991.07,165,20,7
TGT000354,REP002,DRG008,FY2021-Q2,3480904.56,227,51,7
TGT000355,REP002,DRG008,FY2021-Q3,3274269.92,94,27,10
TGT000356,REP002,DRG008,FY2021-Q4,4418784.33,293,57,3
TGT000357,REP002,DRG008,FY2022-Q1,5583108.63,282,20,10
TGT000358,REP002,DRG008,FY2022-Q2,1500206.51,84,23,9
TGT000359,REP002,DRG008,FY2022-Q3,2766883.5,287,46,4
TGT000360,REP002,DRG008,FY2022-Q4,1763123.62,63,41,2
TGT000361,REP002,DRG008,FY2023-Q1,3571350.02,76,55,10
TGT000362,REP002,DRG008,FY2023-Q2,5349040.64,50,36,7
TGT000363,REP002,DRG008,FY2023-Q3,2245384.95,236,56,6
TGT000364,REP002,DRG008,FY2023-Q4,5622018.24,97,55,5
TGT000365,REP002,DRG008,FY2024-Q1,5352499.9,159,44,10
TGT000366,REP002,DRG008,FY2024-Q2,3308083.64,67,31,2
TGT000367,REP002,DRG008,FY2024-Q3,5480644.63,134,26,10
TGT000368,REP002,DRG008,FY2024-Q4,4356092.51,80,47,9
TGT000369,REP002,DRG009,FY2021-Q1,94228.59,184,27,9
TGT000370,REP002,DRG009,FY2021-Q2,111642.22,112,50,4
TGT000371,REP002,DRG009,FY2021-Q3,88860,87,27,2
TGT000372,REP002,DRG009,FY2021-Q4,74703.57,109,34,3
TGT000373,REP002,DRG009,FY2022-Q1,55658.04,137,44,7
TGT000374,REP002,DRG009,FY2022-Q2,84728.97,71,50,3
TGT000375,REP002,DRG009,FY2022-Q3,92130.05,68,35,6
TGT000376,REP002,DRG009,FY2022-Q4,105994.14,296,56,5
TGT000377,REP002,DRG009,FY2023-Q1,99138.36,278,60,2
TGT000378,REP002,DRG009,FY2023-Q2,101840.78,74,29,7
TGT000379,REP002,DRG009,FY2023-Q3,41599.77,141,53,2
TGT000380,REP002,DRG009,FY2023-Q4,42915.78,257,45,9
TGT000381,REP002,DRG009,FY2024-Q1,72914.2,72,22,2
TGT000382,REP002,DRG009,FY2024-Q2,50095.55,170,27,6
TGT000383,REP002,DRG009,FY2024-Q3,50905.73,211,54,8
TGT000384,REP002,DRG009,FY2024-Q4,32870.6,294,39,3
TGT000385,REP002,DRG010,FY2021-Q1,72160.61,242,27,5
TGT000386,REP002,DRG010,FY2021-Q2,155267.83,187,54,2
TGT000387,REP002,DRG010,FY2021-Q3,95149.86,249,47,9
TGT000388,REP002,DRG010,FY2021-Q4,152202.34,144,60,5
TGT000389,REP002,DRG010,FY2022-Q1,150967.87,290,60,6
TGT000390,REP002,DRG010,FY2022-Q2,54641.74,276,30,8
TGT000391,REP002,DRG010,FY2022-Q3,186341.38,288,30,10
TGT000392,REP002,DRG010,FY2022-Q4,97069.32,76,45,8
TGT000393,REP002,DRG010,FY2023-Q1,106434.73,226,57,2
TGT000394,REP002,DRG010,FY2023-Q2,83480.08,138,23,6
